site,Amazilia_versicolor,Ammodramus_aurifrons,Ammodramus_humeralis,Arremon_taciturnus,Attila_spadiceus,Automolus_infuscatus,Automolus_ochrolaemus,Bucco_capensis,Bucco_tamatia,Cacicus_cela,Campephilus_rubricollis,Campylopterus_largipennis,Catharus_fuscescens,Celeus_elegans,Ceratopipra_erythrocephala,Cercomacroides_tyrannina,Certhiasomus_stictolaemus,Chloroceryle_aenea,Chloroceryle_americana,Coccycua_minuta,Coereba_flaveola,Conopophaga_aurita,Corythopis_torquatus,Cyanerpes_caeruleus,Cyanoloxia_rothschildii,Cymbilaimus_lineatus,Cyphorhinus_arada,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Dixiphia_pipra,Dryocopus_lineatus,Epinecrophylla_gutturalis,Florisuga_mellivora,Formicarius_analis,Formicarius_colma,Galbula_albirostris,Geotrygon_montana,Glaucidium_hardyi,Glaucis_hirsutus,Glyphorynchus_spirurus,Gymnopithys_rufigula,Heliothryx_auritus,Hemitriccus_zosterops,Henicorhina_leucosticta,Hylexetastes_perrotii,Hylophylax_naevius,Hypocnemis_cantator,Isleria_guttata,Jacamerops_aureus,Lanio_fulvus,Lanio_surinamus,Lepidothrix_serena,Leptotila_rufaxilla,Leucopternis_melanops,Lipaugus_vociferans,Lophotriccus_galeatus,Lophotriccus_vitiosus,Malacoptila_fusca,Manacus_manacus,Micrastur_gilvicollis,Micrastur_ruficollis,Mionectes_macconnelli,Mionectes_oleagineus,Momotus_momota,Monasa_atra,Myiarchus_ferox,Myiarchus_tuberculifer,Myiobius_barbatus,Myrmoderus_ferrugineus,Myrmornis_torquata,Myrmothera_campanisona,Myrmotherula_axillaris,Myrmotherula_longipennis,Myrmotherula_menetriesii,Nasica_longirostris,Neopelma_chrysocephalum,Onychorhynchus_coronatus,Paroaria_gularis,Percnostola_rufifrons,Phaethornis_bourcieri,Phaethornis_ruber,Phaethornis_superciliosus,Pheugopedius_coraya,Philydor_erythrocercum,Philydor_pyrrhodes,Pitangus_sulphuratus,Pithys_albifrons,Platyrinchus_coronatus,Platyrinchus_platyrhynchos,Platyrinchus_saturatus,Pteroglossus_viridis,Pyrrhura_picta,Ramphastos_vitellinus,Ramphocaenus_melanurus,Ramphocelus_carbo,Ramphotrigon_ruficauda,Rhynchocyclus_olivaceus,Rhytipterna_simplex,Saltator_grossus,Saltator_maximus,Schiffornis_turdina,Sclerurus_caudacutus,Sclerurus_macconnelli,Sclerurus_rufigularis,Sittasomus_griseicapillus,Sporophila_angolensis,Sporophila_castaneiventris,Synallaxis_rutilans,Tangara_palmarum,Terenotriccus_erythrurus,Thalurania_furcata,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_melanothorax,Thamnophilus_murinus,Thamnophilus_punctatus,Tolmomyias_assimilis,Tolmomyias_poliocephalus,Troglodytes_musculus,Trogon_rufus,Trogon_viridis,Tunchiornis_ochraceiceps,Turdus_albicollis,Tyranneutes_virescens,Veniliornis_cassini,Willisornis_poecilinotus,Xenops_minutus,Xiphorhynchus_obsoletus,Xiphorhynchus_pardalotus,Zebrilus_undulatus,richness,abundance,area,isolation,edge,categoria
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,13,27,91.19,5272,115,interior
Neto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,56,32.84,575,94,edge
Palhal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,21.35,4950,80,edge
Panema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,3.08,2871,45,edge
Pe_Torto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,14,38,4.98,213,62,edge
Piquia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,30,13.03,7433,97,edge
Pontal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,20,49,106.48,30,68,edge
Porto_Seguro,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,0,0,0,5,0,0,0,5,0,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,10,0,26,85,1323.13,43,376,interior
Relogio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7,0,18,70,70.48,8178,156,interior
Sapupara,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,3,0,12,32,77.71,4253,114,interior
