ID,plot,site,area,Ano,Data,t,t_period,Mionectes_macconnelli,Myrmotherula_axillaris,Platyrinchus_platyrhynchos,Pseudopipra_pipra,Glyphorynchus_spirurus,Hypocnemis_cantator,Momotus_momota,Arremon_taciturnus,Bucco_capensis,Campylorhamphus_procurvoides,Galbula_albirostris,Geotrygon_montana,Isleria_guttata,Maschalethraupis_surinamus,Monasa_atra,Percnostola_subcristata,Phaethornis_ruber,Thraupis_palmarum,Trogon_rufus,Xiphorhynchus_pardalotus,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Thalurania_furcata,Turdus_albicollis,Myrmoderus_ferrugineus,Attila_spadiceus,Chloroceryle_aenea,Coereba_flaveola,Chloroceryle_americana,Deconychura_longicauda,Cyphorhinus_arada,Percnostola_rufifrons,Platyrinchus_saturatus,Psophia_crepitans,Schiffornis_turdina,Sclerurus_caudacutus,Willisornis_poecilinotus,Dendroplex_picus,Laniocera_hypopyrra,Micrastur_gilvicollis,Phaethornis_malaris,Formicarius_analis,Formicarius_colma,Lepidothrix_serena,Phaethornis_superciliosus,Pithys_albifrons,Thamnomanes_caesius,Thamnophilus_murinus,Automolus_ochrolaemus,Cyanoloxia_rothschildii,Glaucis_hirsutus,Micrastur_ruficollis,Phaethornis_bourcieri,Philydor_erythrocercum,Terenotriccus_erythrurus,Leptotila_rufaxilla,Attila_bolivianus,Leptotila_verreauxi,Phaethornis_sp.,Sclerurus_rufigularis,Sporophila_angolensis,Myrmotherula_sp.,Ramphotrigon_ruficauda,Glaucidium_hardyi,Turdus_leucomelas,Tyranneutes_virescens,Cercomacroides_laeta,Celeus_elegans,Lipaugus_vociferans,Pteroglossus_viridis,Sclerurus_albigularis,Selenidera_piperivora,Megascops_watsonii,Trogon_viridis,Catharus_fuscescens,Cercomacroides_tyrannina,Xiphorhynchus_obsoletus,Troglodytes_musculus,Chrysuronia_versicolor,Lophotriccus_galeatus,Thamnophilus_punctatus,Ceratopipra_erythrocephala,Dryocopus_lineatus,Heliothryx_auritus,Florisuga_mellivora,Mionectes_oleagineus,Automolus_infuscatus,Certhiasomus_stictolaemus,Epinecrophylla_gutturalis,Henicorhina_leucosticta,Hylophylax_naevius,Myiobius_barbatus,Myrmotherula_menetriesii,Philydor_pyrrhodes,Rhynchocyclus_olivaceus,Thamnomanes_ardesiacus,Xenops_minutus,Campephilus_rubricollis,Manacus_manacus,Saltator_grossus,Myiarchus_tuberculifer,Platyrinchus_coronatus,Pheugopedius_coraya,Conopophaga_aurita,Hylexetastes_perrotii,Campylopterus_largipennis,Onychorhynchus_coronatus,Ramphastos_vitellinus,Rhytipterna_simplex,Cyanerpes_caeruleus,Leucopternis_melanops,Tamatia_tamatia,Ramphocelus_carbo,Ammodramus_aurifrons,Synallaxis_rutilans,Cacicus_cela,Sittasomus_griseicapillus,Neopelma_chrysocephalum,Ammodramus_humeralis,Myiarchus_ferox,Paroaria_gularis,Pitangus_sulphuratus,Sporophila_castaneiventris,Tolmomyias_poliocephalus,Nasica_longirostris,Lophotriccus_vitiosus,Saltator_maximus,Zebrilus_undulatus,Coccycua_minuta,Pyrrhura_picta,Corapipo_gutturalis,Frederickena_viridis,Ramphocaenus_melanurus,Thraupis_episcopus,Hemitriccus_zosterops,Chrysolampis_mosquitus,Vireo_olivaceus,Catharus_minimus,Chloroceryle_inda,Dacnis_cayana,Perissocephalus_tricolor,Microrhopias_quixensis,Myiornis_ecaudatus,Myrmelastes_leucostigma,Myrmotherula_longipennis,Gymnopithys_rufigula,Corythopis_torquatus,Dendrocincla_merula,Mionectes_sp.,Thamnophilidae,Threnetes_leucurus,Lanio_fulvus,Malacoptila_fusca,Sclerurus_macconnelli,Thamnophilus_melanothorax,Myrmornis_torquata,Myrmothera_campanisona,Tunchiornis_ochraceiceps,Tolmomyias_assimilis,Cymbilaimus_lineatus,Jacamerops_aureus,Veniliornis_cassini,Pachyramphus_marginatus
Beco_do_Catitu_D_2010,Beco_do_Catitu_D,Beco_do_Catitu,636.32,2010,11/06/2010,22.69,23,0,3,0,3,2,2,0,0,0,0,0,1,2,2,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cipoal_2011,Cipoal,Cipoal,213.84,2011,12/10/2011,24.03,23,0,7,0,6,4,0,0,0,0,0,0,0,1,0,0,7,1,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coata_2010,Coata,Coata,16.59,2010,27/09/2010,22.99,23,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaviao_real_B_2011,Gaviao_real_B,Gaviao_real,1782.8,2011,23/08/2011,23.89,23,2,0,0,9,1,0,0,0,0,0,1,0,4,0,0,4,0,0,1,0,1,0,2,10,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaviao_real_C_2011,Gaviao_real_C,Gaviao_real,1782.8,2011,23/08/2011,23.89,23,1,4,0,1,1,1,2,0,0,0,0,5,2,3,0,0,0,0,0,6,2,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martelo_C_2011,Martelo_C,Martelo,468.92,2011,12/02/2011,23.37,23,0,4,0,9,7,2,1,0,0,0,0,1,6,0,0,11,1,0,0,2,0,0,1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martelo_D_2011,Martelo_D,Martelo,468.92,2011,12/02/2011,23.37,23,0,1,0,7,4,2,1,0,0,0,0,1,1,0,0,2,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panema_2010,Panema,Panema,2.51,2010,11/05/2010,22.61,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panema_2011,Panema,Panema,2.51,2011,12/01/2011,23.28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piquia_2010,Piquia,Piquia,12.1,2010,27/09/2010,22.99,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontal_2011,Pontal,Pontal,104.1,2011,12/06/2011,23.7,23,0,2,0,5,2,3,1,0,1,0,1,1,4,2,0,5,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relogio_2011,Relogio,Relogio,71.46,2011,20/08/2011,23.88,23,1,14,0,5,4,5,0,0,0,0,3,1,0,4,0,4,0,0,0,4,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapupara_2010,Sapupara,Sapupara,83.83,2010,11/11/2010,23.11,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapupara_2011,Sapupara,Sapupara,83.83,2011,27/08/2011,23.9,23,0,0,0,2,1,2,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abusado_2015,Abusado,Abusado,13.37,2015,08/09/2015,27.94,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abusado_2016,Abusado,Abusado,13.37,2016,04/09/2016,28.93,29,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adeus_2015,Adeus,Adeus,54.64,2015,15/11/2015,28.12,28,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
