site_year,site,year,date,t,area,Attila_spadiceus,Chrysuronia_versicolor,Dendrocolaptes_certhia,Lipaugus_vociferans,Myrmotherula_axillaris,Pseudopipra_pipra,Monasa_atra,Dendrocincla_fuliginosa,Phaethornis_superciliosus,Schiffornis_turdina,Thalurania_furcata,Formicarius_colma,Sporophila_angolensis,Xiphorhynchus_obsoletus,Celeus_elegans,Xiphorhynchus_pardalotus,Momotus_momota,Ceratopipra_erythrocephala,Maschalethraupis_surinamus,Florisuga_mellivora,Galbula_albirostris,Glyphorynchus_spirurus,Hypocnemis_cantator,Percnostola_rufifrons,Turdus_albicollis,Willisornis_poecilinotus,Isleria_guttata,Phaethornis_ruber,Automolus_infuscatus,Campephilus_rubricollis,Epinecrophylla_gutturalis,Gymnopithys_rufigula,Hylophylax_naevius,Mionectes_macconnelli,Myiobius_barbatus,Myrmoderus_ferrugineus,Pithys_albifrons,Thamnomanes_caesius,Thamnophilus_murinus,Campylopterus_largipennis,Corapipo_gutturalis,Cyanoloxia_rothschildii,Formicarius_analis,Frederickena_viridis,Lepidothrix_serena,Manacus_manacus,Mionectes_oleagineus,Myrmothera_campanisona,Phaethornis_bourcieri,Philydor_pyrrhodes,Tolmomyias_poliocephalus,Tunchiornis_ochraceiceps,Xenops_minutus,Corythopis_torquatus,Deconychura_longicauda,Leptotila_rufaxilla,Malacoptila_fusca,Myrmotherula_menetriesii,Platyrinchus_coronatus,Platyrinchus_saturatus,Sclerurus_rufigularis,Thamnomanes_ardesiacus,Arremon_taciturnus,Henicorhina_leucosticta,Laniocera_hypopyrra,Myrmotherula_longipennis,Ramphastos_vitellinus,Rhynchocyclus_olivaceus,Dendrocincla_merula,Geotrygon_montana,Pachyramphus_marginatus,Certhiasomus_stictolaemus,Rhytipterna_simplex,Cercomacroides_tyrannina,Chloroceryle_aenea,Philydor_erythrocercum,Ramphocaenus_melanurus,Micrastur_gilvicollis,Micrastur_ruficollis,Sclerurus_caudacutus,Synallaxis_rutilans,Ramphotrigon_ruficauda,Leptotila_verreauxi,Myiarchus_ferox,Coereba_flaveola,Terenotriccus_erythrurus,Glaucidium_hardyi,Thraupis_episcopus,Hemitriccus_zosterops,Tamatia_tamatia,Chrysolampis_mosquitus,Hylexetastes_perrotii,Troglodytes_musculus,Selenidera_piperivora,Ramphocelus_carbo,Vireo_olivaceus,Catharus_minimus,Chloroceryle_inda,Onychorhynchus_coronatus,Leucopternis_melanops,Cacicus_cela,Dacnis_cayana,Tyranneutes_virescens,Chloroceryle_americana,Glaucis_hirsutus,Pteroglossus_viridis,Bucco_capensis,Lophotriccus_galeatus,Perissocephalus_tricolor,Pheugopedius_coraya,Saltator_grossus,Trogon_rufus,Microrhopias_quixensis,Myiornis_ecaudatus
Cipoal_2023,Cipoal,2023,05/11/2023,36.1,207.4640652,2,0,1,0,0,9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cipoal_2024,Cipoal,2024,18/08/2024,36.88,207.4640652,0,0,1,0,1,8,0,1,1,0,2,0,0,0,0,2,1,1,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coata_2023,Coata,2023,06/07/2023,35.76,14.87004958,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,5,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coata_2024,Coata,2024,20/11/2024,37.14,14.87004958,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formiga_2023,Formiga,2023,23/08/2023,35.89,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formiga_2024,Formiga,2024,21/06/2024,36.72,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furo_de_Santa_Luzia_2023,Furo_de_Santa_Luzia,2023,28/08/2023,35.91,188.1150851,0,0,1,1,9,3,1,2,0,0,1,0,0,0,0,2,1,0,0,0,0,6,10,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furo_de_Santa_Luzia_2024,Furo_de_Santa_Luzia,2024,26/06/2024,36.73,188.1150851,0,0,0,0,2,3,0,2,0,0,1,1,0,0,0,1,0,0,1,0,1,5,3,0,2,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuzaca_2023,Fuzaca,2023,25/06/2023,35.73,875.3621958,0,0,0,0,1,9,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,5,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuzaca_2024,Fuzaca,2024,30/09/2024,37,875.3621958,0,0,0,0,5,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
