species_CBRO_2021,species,diet,band,prnh,prnh_1,prnh_10,biom
Rhytipterna_simplex,Rhytipterna simplex,i,8,0.93,0,0,275.7
Laniocera_hypopyrra,Laniocera hypopyrrha,i?,4,0.41,0,0,196
Myiobius_barbatus,Myiobius barbatus,i,209,33.61,18.09,16.23,2205
Onychorhynchus_coronatus,Onychorhynchus coronatus,i,44,8.74,0,0,647.2
Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,i,9,0.93,0,4.06,110.2
Platyrinchus_coronatus,Platyrinchus coronatus,i,138,21.38,0,28.41,1184
Platyrinchus_saturatus,Platyrinchus saturatus,i,146,31.86,6.03,1.35,1522.8
Tolmomyias_assimilis,Tolmomyias assimilis,msf,1,0.1,3.02,0,13.5
Rhynchocyclus_olivaceus,Rhynchocyclus olivaceus,msf,40,5.86,24.13,9.47,780
Ramphotrigon_ruficauda,Ramphotrigon ruficauda,i,12,1.54,0,0,224.6
Hemitriccus_minor,Hemitriccus minor,i,9,0.93,6.03,1.35,76.8
Lophotriccus_galeatus,Lophotriccus galeatus,i,2,0.21,0,1.35,16
Mionectes_macconnelli,Mionectes macconnelli,i,310,39.78,42.22,10.82,3822.3
Corythopis_torquatus,Corythopis torquata,i,161,34.43,3.02,9.47,2403.7
Pheugopedius_coraya,Thryothorus coraya,i,3,0.51,3.02,0,49.5
Cantorchilus_leucotis,Thryothorus leucotis,i,1,0.1,0,0,15
Troglodytes_musculus,Troglodytes aedon,i,1,0.1,0,2.71,11.5
Microcerculus_bambla,Microcerculis bambla,i,85,16.45,0,1.35,1428.9
Cyphorhinus_arada,Cyphorhinus arada,i,171,30.12,3.02,58.17,3452.5
Catharus_fuscescens,Catharus fuscescens,"f,i",7,0.72,0,0,193.1
Catharus_minimus,Catharus minimus,"f,i",7,0.72,0,0,208.3
Turdus_albicollis,Turdus albicollis,"f,i",285,55.4,9.05,62.23,14096.1
Microbates_collaris,Microbates collaris,i,210,43.07,18.09,43.29,2244.9
Ramphocaenus_melanurus,Ramphocaenus melanurus,i,1,0.1,9.05,0,9
Sporophila_angolensis,Oryzoborus angolensis,f,2,0.21,0,0,25.6
Arremon_taciturnus,Arremon taciturnus,"i,f",4,0.41,0,0,89.5
Saltator_grossus,Pitylus grossus,f,4,0.41,6.03,0,174
Cyanoloxia_rothschildii,Cyanocompsa cyanoides,f,33,5.24,0,1.35,847.8
Hemithraupis_flavicollis,Hemithraupis flavicollis,f,0,0,0,0,0
Lanio_fulvus,Lanio fulvus,msf,12,1.54,0,0,300
Loriotus_cristatus,Tachyphonus cristatus,"f,i",5,0.51,6.03,0,91.8
Maschalethraupis_surinamus,Tachyphonus surinamus,"f,i",102,12.33,15.08,9.47,2094.1
Ramphocelus_carbo,Ramphocelus carbo,f,1,0.1,12.06,0,24.2
Tangara_chilensis,Tangara chilensis,f,2,0.21,0,0,29.5
Ixothraupis_punctata,Tangara punctata,f,1,0.1,0,0,14.3
Dacnis_cayana,Dacnis cayana,f,1,0.1,0,0,13
Chlorophanes_spiza,Chlorophanes spiza,f,2,0.21,6.03,0,31.8
Coereba_flaveola,Coereba flaveola,f,3,0.31,3.02,0,26.6
Myiothlypis_rivularis,Phaeothlypis rivularis,i,13,2.06,0,0,169
Pachysylvia_muscicapina,Hylophilus muscicapinus,msf,0,0,0,1.35,0
Tunchiornis_ochraceiceps,Hylophilus ochraceiceps,msf,150,32.79,0,27.06,1518
